file,status,before_kb,after_kb,reduction_pct,width,height,error,output_path
1021.png,OK,276.6,42.4,84.7,512,512,,D:\female\11\1021.webp
1021_1.png,OK,289.5,45.9,84.2,512,512,,D:\female\11\1021_1.webp
1022.png,OK,218.3,33.3,84.8,512,512,,D:\female\11\1022.webp
1023.png,OK,84.0,11.9,85.9,512,512,,D:\female\11\1023.webp
1023_1.png,OK,76.6,12.8,83.2,512,512,,D:\female\11\1023_1.webp
1024.png,OK,137.5,26.0,81.1,512,512,,D:\female\11\1024.webp
1024_1.png,OK,139.1,28.1,79.8,512,512,,D:\female\11\1024_1.webp
1025.png,OK,176.3,29.2,83.4,512,512,,D:\female\11\1025.webp
1026.png,OK,264.3,40.6,84.6,512,512,,D:\female\11\1026.webp
1026_1.png,OK,254.4,41.0,83.9,512,512,,D:\female\11\1026_1.webp
1027.png,OK,240.5,29.3,87.8,512,512,,D:\female\11\1027.webp
1028.png,OK,209.7,27.1,87.1,512,512,,D:\female\11\1028.webp
1028_1.png,OK,204.5,28.1,86.3,512,512,,D:\female\11\1028_1.webp
1028_2.png,OK,226.8,40.0,82.4,512,512,,D:\female\11\1028_2.webp
1029.png,OK,177.2,16.0,91.0,512,512,,D:\female\11\1029.webp
1029_1.png,OK,187.2,46.5,75.1,512,512,,D:\female\11\1029_1.webp
1029_2.png,OK,164.1,17.1,89.6,512,512,,D:\female\11\1029_2.webp
102_1.png,OK,6.5,3.0,53.4,512,512,,D:\female\9\102_1.webp
102_2.png,OK,6.5,3.1,51.7,512,512,,D:\female\9\102_2.webp
102_3.png,OK,6.5,3.1,52.1,512,512,,D:\female\9\102_3.webp
103.png,OK,174.6,21.1,87.9,512,512,,D:\female\11\103.webp
103.png,OK,36.4,8.4,76.8,512,512,,D:\female\9\103.webp
1030.png,OK,175.1,24.1,86.2,512,512,,D:\female\11\1030.webp
1030_1.png,OK,236.8,40.4,82.9,512,512,,D:\female\11\1030_1.webp
1030_2.png,OK,200.2,45.6,77.2,512,512,,D:\female\11\1030_2.webp
1031.png,OK,148.4,26.7,82.0,512,512,,D:\female\11\1031.webp
